channel,Energy1,Energy2,Energy3,Energy4,Energy5,Energy6,Energy7,Energy8,Energy9,Energy10,Energy11,Energy12,Energy13,Energy14,Energy15,Energy16,Energy17
1,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
2,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
3,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
4,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
5,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
6,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
7,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
8,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
9,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
10,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
11,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
12,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
13,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
14,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
15,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
16,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
17,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
18,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
19,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
20,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
21,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
22,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
23,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
24,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
25,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
26,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
27,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
28,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
29,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
30,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
31,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
32,0,32,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512
