channel,k,b
1,0.876 ,3.970 
2,0.850 ,4.244 
3,0.862 ,4.414 
4,0.803 ,4.802 
5,0.762 ,3.722 
6,0.835 ,5.220 
7,0.881 ,3.112 
8,0.843 ,4.807 
9,0.872 ,3.455 
10,0.766 ,3.850 
11,0.813 ,4.543 
12,0.795 ,5.279 
13,0.817 ,4.062 
14,0.848 ,4.648 
15,0.826 ,4.270 
16,0.831 ,4.880 
17,0.832 ,3.955 
18,0.752 ,4.267 
19,0.811 ,4.914 
20,0.790 ,4.980 
21,0.861 ,4.350 
22,0.839 ,4.435 
23,0.797 ,2.933 
24,0.892 ,4.707 
25,0.829 ,4.382 
26,0.837 ,4.718 
27,0.814 ,3.693 
28,0.806 ,4.097 
29,0.835 ,3.883 
30,0.830 ,3.593 
31,0.879 ,3.450 
32,0.896 ,4.045 
